ID,Pharmacy-Name,Phone,Credential,CredentialId,Location,Address,City,State,Concat,Zip,Found,Coordinates,Lats,Long,County,Color,Size,Label,cluster
100,WALGREENS #10309,203-488-9059,PCY.0002100,"483,286","1036 W MAIN ST
CT 06405-3428
(41.275176, -72.832044)",1036 W MAIN ST,BRANFORD,CT,"1036 W MAIN ST, BRANFORD, CT",06405-3428,Match,"-72.8109,41.282166",-72.8109,41.282166,New Haven County,Green,Tiny,E,5
101,CVS PHARMACY #2143,(203) 371-1280,PCY.0001587,"174,280","3710 MAIN ST
CT 06606-3613
(41.211896, -73.210154)",3710 MAIN ST,BRIDGEPORT,CT,"3710 MAIN ST, BRIDGEPORT, CT",06606-3613,Match,"-73.210655,41.212402",-73.210655,41.212402,Fairfield,Red,Tiny,A,1
102,CVS PHARMACY #6807,(203) 237-8997,PCY.0000423,"344,688","153 BROAD ST
CT 06450-6550
(41.525661, -72.799439)",153 BROAD ST,MERIDEN,CT,"153 BROAD ST, MERIDEN, CT",06450-6550,Match,"-72.79972,41.525204",-72.79972,41.525204,New Haven County,Green,Tiny,E,5
103,WAL-MART PHARMACY #10-2284,203-729-2288,PCY.0001640,"184,945","1100 NEW HAVEN RD
CT 06770-5016
(41.469293, -73.028961)",1100 NEW HAVEN RD,NAUGATUCK,CT,"1100 NEW HAVEN RD, NAUGATUCK, CT",06770-5016,Match,"-73.02747,41.46904",-73.02747,41.46904,New Haven County,Green,Tiny,E,5
104,CVS PHARMACY #4436,(860) 533-1156,PCY.0002142,"532,330","241 MIDDLE TPKE W
CT 06040-3834
(41.781296, -72.536396)",241 MIDDLE TPKE W,MANCHESTER,CT,"241 MIDDLE TPKE W, MANCHESTER, CT",06040-3834,Match,"-72.53657,41.78129",-72.53657,41.78129,Hartford County,Orange,Tiny,B,2
107,CVS PHARMACY #1060,(860) 621-1996,PCY.0001351,"38,659","326 MAIN ST
CT 06489-2508
(41.594212, -72.879411)",326 MAIN ST,SOUTHINGTON,CT,"326 MAIN ST, SOUTHINGTON, CT",06489-2508,Match,"-72.87917,41.59431",-72.87917,41.59431,Hartford County,Orange,Tiny,B,2
108,WALGREENS #07750,(860) 231-7665,PCY.0002011,"414,142","940 QUAKER LN S
CT 06110-1458
(41.733232, -72.731177)",940 QUAKER LN S,WEST HARTFORD,CT,"940 QUAKER LN S, WEST HARTFORD, CT",06110-1458,Match,"-72.7311,41.73365",-72.7311,41.73365,Hartford County,Orange,Tiny,B,2
109,WALGREENS #07584,(203) 932-9311,PCY.0001313,"38,463","394 CAMPBELL AVE
CT 06516-5012
(41.269068, -72.948726)",394 CAMPBELL AVE,WEST HAVEN,CT,"394 CAMPBELL AVE, WEST HAVEN, CT",06516-5012,Match,"-72.94861,41.268677",-72.94861,41.268677,New Haven County,Green,Tiny,E,5
110,HANCOCK PHARMACY AT LONG WHARF INC,(203) 787-9908,PCY.0002211,"993,487","1 LONG WHARF DR
CT 06511-5991
(41.288558, -72.929033)",1 LONG WHARF DR STE 116,NEW HAVEN,CT,"1 LONG WHARF DR STE 116, NEW HAVEN, CT",06511-5991,Match,"-72.92726,41.288307",-72.92726,41.288307,New Haven County,Green,Tiny,E,5
111,CVS PHARMACY #2219,(860) 258-4963,PCY.0001734,"223,547","2427 MAIN ST
CT 06067-2503
(41.662461, -72.639088)",2427 MAIN ST,ROCKY HILL,CT,"2427 MAIN ST, ROCKY HILL, CT",06067-2503,Match,"-72.639114,41.66173",-72.639114,41.66173,Hartford County,Orange,Tiny,B,2
112,CVS PHARMACY #71,(203) 783-9058,PCY.0002116,"501,304","989 BOSTON POST RD
CT 06460-3531
(41.231796, -73.047211)",989 BOSTON POST RD,MILFORD,CT,"989 BOSTON POST RD, MILFORD, CT",06460-3531,Match,"-73.04728,41.231777",-73.04728,41.231777,New Haven County,Green,Tiny,E,5
113,RITE AID  #1033,(203) 865-3179,PCY.0000931,"37,773","85 MIDDLETOWN AVE
CT 06473-3927
(41.34023, -72.863418)",85 MIDDLETOWN AVE,NORTH HAVEN,CT,"85 MIDDLETOWN AVE, NORTH HAVEN, CT",06473-3927,Match,"-72.89096,41.32072",-72.89096,41.32072,New Haven County,Green,Tiny,E,5
115,RITE AID  #3264,(203) 469-4609,PCY.0001456,"247,613","10 HEMINGWAY AVE
CT 06512-3404
(41.266838, -72.872485)",10 HEMINGWAY AVE,EAST HAVEN,CT,"10 HEMINGWAY AVE, EAST HAVEN, CT",06512-3404,Match,"-72.87248,41.266983",-72.87248,41.266983,New Haven County,Green,Tiny,E,5
116,STOP & SHOP PHARMACY #636,2032700827,PCY.0001394,"38,871","228 SOUTH MAIN STREET
CT 06470
(41.373447, -73.271551)",228 SOUTH MAIN STREET,NEWTOWN,CT,"228 SOUTH MAIN STREET, NEWTOWN, CT",6470,Match,"-73.271545,41.374634",-73.271545,41.374634,Fairfield,Red,Tiny,A,1
117,GREENVILLE DRUG STORE,(860) 889-9857,PCY.0000731,"247,253","213 CENTRAL AVE
CT 06360-3801
(41.533513, -72.056734)",213 CENTRAL AVE,NORWICH,CT,"213 CENTRAL AVE, NORWICH, CT",06360-3801,Match,"-72.056694,41.533485",-72.056694,41.533485,New London County,Black,Mid,F,6
118,CVS PHARMACY #6702,(203) 422-2022,PCY.0002226,"1,041,537","644 W PUTNAM AVE
CT 06830-6088
(41.017195, -73.647863)",644 W PUTNAM AVE,GREENWICH,CT,"644 W PUTNAM AVE, GREENWICH, CT",06830-6088,Match,"-73.64724,41.017525",-73.64724,41.017525,Fairfield,Red,Tiny,A,1
120,BUNKER HILL PHARMACY,(203) 574-7825,PCY.0000274,"37,113","256 BUNKER HILL AVE
CT 06708-2253
(41.569706, -73.064602)",256 BUNKER HILL AVE,WATERBURY,CT,"256 BUNKER HILL AVE, WATERBURY, CT",06708-2253,Match,"-73.06437,41.569508",-73.06437,41.569508,New Haven County,Green,Tiny,E,5
121,CVS PHARMACY #692,(203) 239-4071,PCY.0001211,"225,201","162 WASHINGTON AVE
CT 06473-1711
(41.398105, -72.853119)",162 WASHINGTON AVE,NORTH HAVEN,CT,"162 WASHINGTON AVE, NORTH HAVEN, CT",06473-1711,Match,"-72.85461,41.396687",-72.85461,41.396687,New Haven County,Green,Tiny,E,5
122,WAL-MART PHARMACY #10-5439,(203) 467-7637,PCY.0001873,"368,470","315 FOXON BLVD
CT 06513-2355
(41.321657, -72.87616)",315 FOXON BLVD,NEW HAVEN,CT,"315 FOXON BLVD, NEW HAVEN, CT",06513-2355,Match,"-72.881386,41.323772",-72.881386,41.323772,New Haven County,Green,Tiny,E,5
125,STOP & SHOP PHARMACY #656,(203) 438-0340,PCY.0001926,"387,749","125 DANBURY ROAD; ROUTE
CT 06877
(41.294583, -73.492898)",125 DANBURY ROAD; ROUTE #35,RIDGEFIELD,CT,"125 DANBURY ROAD; ROUTE #35, RIDGEFIELD, CT",6877,Match,"-73.493,41.293583",-73.493,41.293583,Fairfield,Red,Tiny,A,1
126,RITE AID  #1155,(860) 649-9110,PCY.0001184,"247,752","335 CENTER ST
CT 06040-3922
(41.772523, -72.533752)",335 CENTER ST,MANCHESTER,CT,"335 CENTER ST, MANCHESTER, CT",06040-3922,Match,"-72.53466,41.772484",-72.53466,41.772484,Hartford County,Orange,Tiny,B,2
127,WALGREENS #09820,(203) 238-0910,PCY.0002106,"491,226","825 E MAIN ST
CT 06450-6064
(41.528697, -72.776175)",825 E MAIN ST,MERIDEN,CT,"825 E MAIN ST, MERIDEN, CT",06450-6064,Match,"-72.85283,41.524837",-72.85283,41.524837,New Haven County,Green,Tiny,E,5
128,CVS PHARMACY #348,(860) 529-2535,PCY.0000903,"37,768","1078 SILAS DEANE HWY
CT 06109-4231
(41.692707, -72.656335)",1078 SILAS DEANE HWY,WETHERSFIELD,CT,"1078 SILAS DEANE HWY, WETHERSFIELD, CT",06109-4231,Match,"-72.65611,41.691814",-72.65611,41.691814,Hartford County,Orange,Tiny,B,2
129,"GENOA HEALTHCARE,LLC",203-301-8861,PCY.0002269,"1,169,257","941 BRIDGEPORT AVE
CT 06460-3142
(41.214773, -73.074076)",941 BRIDGEPORT AVE STE M5,MILFORD,CT,"941 BRIDGEPORT AVE STE M5, MILFORD, CT",06460-3142,Match,"-73.0741,41.214733",-73.0741,41.214733,New Haven County,Green,Tiny,E,5
130,CVS PHARMACY #1912,(203) 366-8070,PCY.0001478,"310,359","1968 BLACK ROCK TPKE
CT 06825-3543
(41.18085, -73.24946)",1968 BLACK ROCK TPKE,FAIRFIELD,CT,"1968 BLACK ROCK TPKE, FAIRFIELD, CT",06825-3543,Match,"-73.24888,41.18065",-73.24888,41.18065,Fairfield,Red,Tiny,A,1
131,CVS PHARMACY #2896,(860) 344-1320,PCY.0002128,"517,666","675 WASHINGTON ST
CT 06457-2901
(41.55474, -72.674331)",675 WASHINGTON ST,MIDDLETOWN,CT,"675 WASHINGTON ST, MIDDLETOWN, CT",06457-2901,Match,"-72.67468,41.554707",-72.67468,41.554707,Middlesex County,Purple,Small,D,4
132,WALGREENS #09785,(203) 777-8001,PCY.0001349,"38,656","436 WHALLEY AVE
CT 06511-3012
(41.31855, -72.947771)",436 WHALLEY AVE,NEW HAVEN,CT,"436 WHALLEY AVE, NEW HAVEN, CT",06511-3012,Match,"-72.94781,41.318615",-72.94781,41.318615,New Haven County,Green,Tiny,E,5
133,CVS PHARMACY #775,(203) 287-0835,PCY.0001252,"38,432","2045 DIXWELL AVE
CT 06514-2405
(41.367758, -72.920209)",2045 DIXWELL AVE,HAMDEN,CT,"2045 DIXWELL AVE, HAMDEN, CT",06514-2405,Match,"-72.920425,41.36748",-72.920425,41.36748,New Haven County,Green,Tiny,E,5
134,WAL-MART STORE #3543,(203) 791-1929,PCY.0001820,"319,305","67 NEWTOWN RD
CT 06810-6272
(41.406755, -73.417427)",67 NEWTOWN RD,DANBURY,CT,"67 NEWTOWN RD, DANBURY, CT",06810-6272,Match,"-73.41823,41.40622",-73.41823,41.40622,Fairfield,Red,Tiny,A,1
135,WALGREENS #03523,(203) 791-0405,PCY.0001577,"165,889","75 MAIN ST
CT 06810-7802
(41.390774, -73.448122)",75 MAIN ST,DANBURY,CT,"75 MAIN ST, DANBURY, CT",06810-7802,Match,"-73.44831,41.391075",-73.44831,41.391075,Fairfield,Red,Tiny,A,1
136,CVS PHARMACY #2022,(860) 668-5115,PCY.0000899,"37,767","163 MOUNTAIN RD
CT 06078-2005
(41.779798, -72.490156)",163 MOUNTAIN RD,SUFFIELD,CT,"163 MOUNTAIN RD, SUFFIELD, CT",06078-2005,Match,"-72.65802,41.983665",-72.65802,41.983665,Hartford County,Orange,Tiny,B,2
137,PHARMERICA,800-282-4321,PCY.0001654,"287,079","77 OLD BRICKYARD LN
CT 06037-1423
(41.634256, -72.758699)",77 OLD BRICKYARD LN,BERLIN,CT,"77 OLD BRICKYARD LN, BERLIN, CT",06037-1423,Match,"-72.75958,41.636246",-72.75958,41.636246,Hartford County,Orange,Tiny,B,2
138,WALGREENS #07759,(860) 405-1919,PCY.0001900,"382,793","441 LONG HILL RD
CT 06340-4149
(41.3548, -72.060484)",441 LONG HILL RD,GROTON,CT,"441 LONG HILL RD, GROTON, CT",06340-4149,Match,"-72.06059,41.354958",-72.06059,41.354958,New London County,Black,Mid,F,6
139,CONNECTICUT PHARMACY OF MADISON,(203) 421-2132,PCY.0002300,"1,239,702","200 BOSTON POST RD
CT 06443-2144
(41.281099, -72.630536)",200 BOSTON POST RD STE 9,MADISON,CT,"200 BOSTON POST RD STE 9, MADISON, CT",06443-2144,Match,"-72.63067,41.28121",-72.63067,41.28121,New Haven County,Green,Tiny,E,5
140,CVS PHARMACY #1180,(860) 678-8605,PCY.0001378,"38,678","358 W MAIN ST
CT 06001-3643
(41.815143, -72.860885)",358 W MAIN ST,AVON,CT,"358 W MAIN ST, AVON, CT",06001-3643,Match,"-72.86183,41.81537",-72.86183,41.81537,Hartford County,Orange,Tiny,B,2
141,BIG Y PHARMACY #61,(860) 445-7719,PCY.0001203,"38,224","995 POQUONNOCK ROAD
CT 06340
(41.346324, -72.048843)",995 POQUONNOCK ROAD,GROTON,CT,"995 POQUONNOCK ROAD, GROTON, CT",6340,Match,"-72.052986,41.345863",-72.052986,41.345863,New London County,Black,Mid,F,6
142,CVS PHARMACY #459,(860) 659-1329,PCY.0001165,"38,212","2639 MAIN ST
CT 06033-2023
(41.715548, -72.611078)",2639 MAIN ST,GLASTONBURY,CT,"2639 MAIN ST, GLASTONBURY, CT",06033-2023,Match,"-72.61105,41.715446",-72.61105,41.715446,Hartford County,Orange,Tiny,B,2
145,RITE AID  #10378,(860) 589-7713,PCY.0001221,"38,234","8 S MAIN ST
STE A, CT 06786-6235
(41.677936, -73.011359)",8 S MAIN ST STE A,TERRYVILLE,CT,"8 S MAIN ST STE A, TERRYVILLE, CT",06786-6235,Match,"-72.99685,41.679394",-72.99685,41.679394,Litchfield County,Blue,Mid,C,3
146,WALGREENS #09612,(203) 225-0296,PCY.0002060,"438,884","700 BRIDGEPORT AVE
CT 06484-4734
(41.276547, -73.122473)",700 BRIDGEPORT AVE,SHELTON,CT,"700 BRIDGEPORT AVE, SHELTON, CT",06484-4734,Match,"-73.12213,41.27687",-73.12213,41.27687,Fairfield,Red,Tiny,A,1
147,CVS PHARMACY #691,(860) 667-1888,PCY.0001229,"246,428","1181 MAIN ST
CT 06111-3033
(41.695636, -72.722782)",1181 MAIN ST,NEWINGTON,CT,"1181 MAIN ST, NEWINGTON, CT",06111-3033,Match,"-72.72279,41.69545",-72.72279,41.69545,Hartford County,Orange,Tiny,B,2
148,WALGREENS #06992,(860) 871-6068,PCY.0001856,"358,444","529 TALCOTTVILLE RD
CT 06066-2311
(41.850998, -72.483792)",529 TALCOTTVILLE RD,VERNON ROCKVILLE,CT,"529 TALCOTTVILLE RD, VERNON ROCKVILLE, CT",06066-2311,Match,"-72.48372,41.85122",-72.48372,41.85122,Tolland County,Red,Mid,G,7
149,NEW CANAAN PHARMACY,(203) 920-1385,PCY.0002292,"1,215,066","44 EAST AVE
CT 06840-5518
(41.147668, -73.49005)",44 EAST AVE,NEW CANAAN,CT,"44 EAST AVE, NEW CANAAN, CT",06840-5518,Match,"-73.49065,41.14771",-73.49065,41.14771,Fairfield,Red,Tiny,A,1
150,CIRCLE CARE CENTER PHARMACY,(203) 957-3366,PCY.0002249,"1,117,887","618 WEST AVE
CT 06850-4008
(41.113555, -73.415538)",618 WEST AVE,NORWALK,CT,"618 WEST AVE, NORWALK, CT",06850-4008,Match,"-73.41569,41.113365",-73.41569,41.113365,Fairfield,Red,Tiny,A,1
151,WALGREENS #09521,(203) 696-0127,PCY.0002059,"438,882","1000 PARK AVE
CT 06604-3406
(41.175023, -73.198576)",1000 PARK AVE,BRIDGEPORT,CT,"1000 PARK AVE, BRIDGEPORT, CT",06604-3406,Match,"-73.19857,41.1749",-73.19857,41.1749,Fairfield,Red,Tiny,A,1
152,CVS PHARMACY #822,(860) 354-4455,PCY.0001271,"286,845","40 EAST ST
CT 06776-3014
(41.579274, -73.408642)",40 EAST ST,NEW MILFORD,CT,"40 EAST ST, NEW MILFORD, CT",06776-3014,Match,"-73.40857,41.57889",-73.40857,41.57889,Litchfield County,Blue,Mid,C,3
154,FORD PHARMACY & MED SUPPLY,(203) 729-2680,PCY.0000432,"37,318","2 CHURCH ST
CT 06770-4112
(41.487397, -73.056323)",2 CHURCH ST,NAUGATUCK,CT,"2 CHURCH ST, NAUGATUCK, CT",06770-4112,Match,"-73.05627,41.48734",-73.05627,41.48734,New Haven County,Green,Tiny,E,5
156,CVS PHARMACY #133,(203) 255-1089,PCY.0001561,"134,058","698 POST RD
CT 06824-6247
(41.14795, -73.247154)",698 POST RD,FAIRFIELD,CT,"698 POST RD, FAIRFIELD, CT",06824-6247,Match,"-73.24669,41.14811",-73.24669,41.14811,Fairfield,Red,Tiny,A,1
157,BERNEYS PHARMACY,(203) 562-4447,PCY.0002133,"520,854","615 HOWARD AVE
CT 06519-2112
(41.297662, -72.93422)",615 HOWARD AVE,NEW HAVEN,CT,"615 HOWARD AVE, NEW HAVEN, CT",06519-2112,Match,"-72.93423,41.2977",-72.93423,41.2977,New Haven County,Green,Tiny,E,5
158,VITAL CARE OF CONNECTICUT INC,(203) 845-0616,PCY.0002019,"419,504","189 MAIN ST
CT 06851-3607
(41.12665, -73.421383)",189 MAIN ST,NORWALK,CT,"189 MAIN ST, NORWALK, CT",06851-3607,Match,"-73.42001,41.126022",-73.42001,41.126022,Fairfield,Red,Tiny,A,1
159,CVS PHARMACY #1125,(860) 564-2111,PCY.0001393,"38,870","10 LATHROP RD
CT 06374-2030
(41.667232, -71.915207)",10 LATHROP RD,PLAINFIELD,CT,"10 LATHROP RD, PLAINFIELD, CT",06374-2030,Match,"-71.91515,41.667133",-71.91515,41.667133,Windham County,Grey,Big,L,8
161,STOP & SHOP PHARMACY #663,(203) 877-1912,PCY.0001622,"45,735","1360 E TOWN RD
CT 06460-3623
(41.236198, -73.031697)",1360 E TOWN RD,MILFORD,CT,"1360 E TOWN RD, MILFORD, CT",06460-3623,Match,"-73.03315,41.237576",-73.03315,41.237576,New Haven County,Green,Tiny,E,5
162,CVS PHARMACY #750,(860) 741-5498,PCY.0001234,"38,241","875 ENFIELD ST
CT 06082-3617
(41.998176, -72.594367)",875 ENFIELD ST,ENFIELD,CT,"875 ENFIELD ST, ENFIELD, CT",06082-3617,Match,"-72.59436,41.99833",-72.59436,41.99833,Hartford County,Orange,Tiny,B,2
163,CVS PHARMACY #5450,(860) 633-4668,PCY.0001806,"309,571","766 NEW LONDON TPKE
CT 06033-3076
(41.705187, -72.593851)",766 NEW LONDON TPKE,GLASTONBURY,CT,"766 NEW LONDON TPKE, GLASTONBURY, CT",06033-3076,Match,"-72.593025,41.704807",-72.593025,41.704807,Hartford County,Orange,Tiny,B,2
164,WALGREENS #09818,(860) 613-2324,PCY.0002101,"483,629","4 HAMMERHEAD PL
CT 06416-1805
(41.601972, -72.681227)",4 HAMMERHEAD PL,CROMWELL,CT,"4 HAMMERHEAD PL, CROMWELL, CT",06416-1805,Match,"-72.68129,41.60205",-72.68129,41.60205,Middlesex County,Purple,Small,D,4
165,HANCOCK PHARMACY V,(860) 346-9700,PCY.0002177,"924,761","644 MAIN ST
CT 06457-2731
(41.564897, -72.652324)",644 MAIN ST,MIDDLETOWN,CT,"644 MAIN ST, MIDDLETOWN, CT",06457-2731,Match,"-72.65199,41.564163",-72.65199,41.564163,Middlesex County,Purple,Small,D,4
166,WALGREENS #10003,(203) 634-3241,PCY.0002033,"427,224","134 STATE ST
CT 06450-3293
(41.540708, -72.798732)",134 STATE ST,MERIDEN,CT,"134 STATE ST, MERIDEN, CT",06450-3293,Match,"-72.79899,41.540447",-72.79899,41.540447,New Haven County,Green,Tiny,E,5
167,STOP & SHOP PHARMACY #654,(203) 238-1261,PCY.0001729,"223,411","485 BROAD ST
CT 06450-5801
(41.533258, -72.792516)",485 BROAD ST,MERIDEN,CT,"485 BROAD ST, MERIDEN, CT",06450-5801,Match,"-72.79305,41.5328",-72.79305,41.5328,New Haven County,Green,Tiny,E,5
168,CVS PHARMACY #2018,(203) 237-8984,PCY.0001670,"196,911","540 W MAIN ST
CT 06451-2710
(41.540629, -72.821707)",540 W MAIN ST,MERIDEN,CT,"540 W MAIN ST, MERIDEN, CT",06451-2710,Match,"-72.84453,41.52166",-72.84453,41.52166,New Haven County,Green,Tiny,E,5
169,CVS/PHARMACY #16633,(860) 348-9163,PCY.0001755,"242,630","475 HARTFORD RD
CT 06053-1524
(41.710689, -72.765624)",475 HARTFORD RD,NEW BRITAIN,CT,"475 HARTFORD RD, NEW BRITAIN, CT",06053-1524,Match,"-72.76503,41.712063",-72.76503,41.712063,Hartford County,Orange,Tiny,B,2
170,CVS PHARMACY #11072,(860) 236-3564,PCY.0000256,"37,111","344 N MAIN ST
CT 06117-2526
(41.785155, -72.746913)",344 N MAIN ST,WEST HARTFORD,CT,"344 N MAIN ST, WEST HARTFORD, CT",06117-2526,Match,"-72.74663,41.783134",-72.74663,41.783134,Hartford County,Orange,Tiny,B,2
171,CVS PHARMACY #1968,(203) 468-6594,PCY.0001545,861,"369 MAIN ST
CT 06512-2835
(41.280163, -72.875789)",369 MAIN ST,EAST HAVEN,CT,"369 MAIN ST, EAST HAVEN, CT",06512-2835,Match,"-72.8764,41.28086",-72.8764,41.28086,New Haven County,Green,Tiny,E,5
172,GRAEBER'S PHARMACY INC,(203) 235-4463,PCY.0000416,"37,316","172 WEST MAIN STREET
CT 06450
(41.399312, -72.484858)",172 WEST MAIN STREET,MERIDEN,CT,"172 WEST MAIN STREET, MERIDEN, CT",6450,Match,"-72.7973,41.53572",-72.7973,41.53572,New Haven County,Green,Tiny,E,5
173,CVS PHARMACY #1098,(860) 741-0751,PCY.0001020,"37,803","47 HAZARD AVE
CT 06082-3813
(41.989703, -72.576562)",47 HAZARD AVE,ENFIELD,CT,"47 HAZARD AVE, ENFIELD, CT",06082-3813,Match,"-72.58215,41.990017",-72.58215,41.990017,Hartford County,Orange,Tiny,B,2
174,ARCH STREET PHARMACY,,PCY.0002288,"1,206,019","333 ARCH ST
CT 06051-2520
(41.661331, -72.783038)",333 ARCH ST,NEW BRITAIN,CT,"333 ARCH ST, NEW BRITAIN, CT",06051-2520,Match,"-72.78306,41.661293",-72.78306,41.661293,Hartford County,Orange,Tiny,B,2
175,CVS/PHARMACY #16925,(860) 616-0023,PCY.0001842,"348,647","3265 BERLIN TPKE
CT 06111-5101
(41.659738, -72.723399)",3265 BERLIN TPKE,NEWINGTON,CT,"3265 BERLIN TPKE, NEWINGTON, CT",06111-5101,Match,"-72.72439,41.657593",-72.72439,41.657593,Hartford County,Orange,Tiny,B,2
176,STOP & SHOP PHARMACY #679,(203) 597-1498,PCY.0001269,"38,440","240 CHASE AVE
CT 06704-2237
(41.58102, -73.033669)",240 CHASE AVE,WATERBURY,CT,"240 CHASE AVE, WATERBURY, CT",06704-2237,Match,"-73.03376,41.58106",-73.03376,41.58106,New Haven County,Green,Tiny,E,5
177,CVS PHARMACY #135,(860) 567-0856,PCY.0001568,"134,544","266 WEST ST
CT 06759-3404
(41.745791, -73.201531)",266 WEST ST,LITCHFIELD,CT,"266 WEST ST, LITCHFIELD, CT",06759-3404,Match,"-73.1989,41.746185",-73.1989,41.746185,Litchfield County,Blue,Mid,C,3
178,CVS PHARMACY #3373,(203) 331-4731,PCY.0001832,"334,996","961 BLACK ROCK TPKE
CT 06825-4702
(41.171745, -73.235678)",961 BLACK ROCK TPKE,FAIRFIELD,CT,"961 BLACK ROCK TPKE, FAIRFIELD, CT",06825-4702,Match,"-73.23568,41.171955",-73.23568,41.171955,Fairfield,Red,Tiny,A,1
180,CVS PHARMACY #1123,(203) 262-1831,PCY.0001388,"38,685","22 DEPOT HILL RD
CT 06488-2258
(41.475812, -73.217742)",22 DEPOT HILL RD,SOUTHBURY,CT,"22 DEPOT HILL RD, SOUTHBURY, CT",06488-2258,Match,"-73.21776,41.47577",-73.21776,41.47577,New Haven County,Green,Tiny,E,5
182,STOP & SHOP PHARMACY #611,860-844-8346,PCY.0001793,"289,905","120 SALMON BROOK ST
CT 06035-2604
(41.935283, -72.790567)",120 SALMON BROOK ST,GRANBY,CT,"120 SALMON BROOK ST, GRANBY, CT",06035-2604,Match,"-72.79146,41.936096",-72.79146,41.936096,Hartford County,Orange,Tiny,B,2
183,BIG Y PHARMACY #73,(860) 896-0264,PCY.0002041,"431,881","135 WEST ROAD
CT 06029
(41.888295, -72.463741)",135 WEST ROAD,ELLINGTON,CT,"135 WEST ROAD, ELLINGTON, CT",6029,Match,"-72.46383,41.88789",-72.46383,41.88789,Tolland County,Red,Mid,G,7
184,BIG Y PHARMACY #34,,PCY.0001863,"363,902","141 B Storrs Road
CT 06250
(41.738153, -72.198173)",141 B Storrs Road,Mansfield Center,CT,"141 B Storrs Road, Mansfield Center, CT",6250,Match,"-72.19802,41.73855",-72.19802,41.73855,Tolland County,Red,Mid,G,7
185,WALGREENS #11604,(860) 693-8329,PCY.0001805,"308,663","220 ALBANY TPKE
CT 06019-7068
(41.826975, -72.89881)",220 ALBANY TPKE,CANTON,CT,"220 ALBANY TPKE, CANTON, CT",06019-7068,Match,"-72.89819,41.826572",-72.89819,41.826572,Hartford County,Orange,Tiny,B,2
186,HANCOCK PHARMACY 2,(203) 368-9000,PCY.0002165,"916,005","1020 FAIRFIELD AVE
CT 06605-1187
(41.174276, -73.203808)",1020 FAIRFIELD AVE,BRIDGEPORT,CT,"1020 FAIRFIELD AVE, BRIDGEPORT, CT",06605-1187,Match,"-73.2046,41.174187",-73.2046,41.174187,Fairfield,Red,Tiny,A,1
187,STOP & SHOP PHARMACY #675,(203) 755-9538,PCY.0001781,"277,465","920 WOLCOTT ST
CT 06705-1300
(41.565747, -73.008362)",920 WOLCOTT ST,WATERBURY,CT,"920 WOLCOTT ST, WATERBURY, CT",06705-1300,Match,"-73.00777,41.56654",-73.00777,41.56654,New Haven County,Green,Tiny,E,5
188,WALGREENS #09432,(860) 253-0463,PCY.0002076,"450,313","2 SHAKER RD
CT 06082-3112
(42.001586, -72.56495)",2 SHAKER RD,ENFIELD,CT,"2 SHAKER RD, ENFIELD, CT",06082-3112,Match,"-72.56545,42.00136",-72.56545,42.00136,Hartford County,Orange,Tiny,B,2
189,WAL-MART STORE #3548,(203) 759-1637,PCY.0001813,"317,348","910 WOLCOTT ST
CT 06705-1317
(41.565161, -73.008762)",910 WOLCOTT ST,WATERBURY,CT,"910 WOLCOTT ST, WATERBURY, CT",06705-1317,Match,"-73.0079,41.56631",-73.0079,41.56631,New Haven County,Green,Tiny,E,5
190,CVS PHARMACY #294,(860) 229-3757,PCY.0001128,"318,435","177 COLUMBUS BLVD
CT 06051-2226
(41.666722, -72.776114)",177 COLUMBUS BLVD,NEW BRITAIN,CT,"177 COLUMBUS BLVD, NEW BRITAIN, CT",06051-2226,Match,"-72.77613,41.666737",-72.77613,41.666737,Hartford County,Orange,Tiny,B,2
192,CVS PHARMACY #1155,(860) 829-0800,PCY.0001367,"38,668","308 BERLIN TPKE
CT 06037-1506
(41.641344, -72.733507)",308 BERLIN TPKE,BERLIN,CT,"308 BERLIN TPKE, BERLIN, CT",06037-1506,Match,"-72.73365,41.64105",-72.73365,41.64105,Hartford County,Orange,Tiny,B,2
193,WALGREENS #15207,(860) 523-5849,PCY.0001451,"246,442","668 FARMINGTON AVE
CT 06119-1810
(41.765558, -72.7168)",668 FARMINGTON AVE,WEST HARTFORD,CT,"668 FARMINGTON AVE, WEST HARTFORD, CT",06119-1810,Match,"-72.71644,41.765614",-72.71644,41.765614,Hartford County,Orange,Tiny,B,2
194,SIMPLY PHARMACY,(860) 865-1303,PCY.0002312,"1,276,408","92 BOSTON POST RD
CT 06385-2421
(41.341771, -72.121856)",92 BOSTON POST RD,WATERFORD,CT,"92 BOSTON POST RD, WATERFORD, CT",06385-2421,Match,"-72.12354,41.34195",-72.12354,41.34195,New London County,Black,Mid,F,6
195,CVS PHARMACY #1156,(860) 521-9877,PCY.0001461,"225,204","1240 FARMINGTON AVE
CT 06107-2618
(41.754654, -72.766351)",1240 FARMINGTON AVE,WEST HARTFORD,CT,"1240 FARMINGTON AVE, WEST HARTFORD, CT",06107-2618,Match,"-72.76576,41.754837",-72.76576,41.754837,Hartford County,Orange,Tiny,B,2
196,CVS PHARMACY #1153,(203) 330-8278,PCY.0001435,"38,896","1875 BOSTON AVE
CT 06610-2623
(41.193272, -73.159776)",1875 BOSTON AVE,BRIDGEPORT,CT,"1875 BOSTON AVE, BRIDGEPORT, CT",06610-2623,Match,"-73.15969,41.19332",-73.15969,41.19332,Fairfield,Red,Tiny,A,1
