Code,Subject,Value
HC01_MOE_VC37,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,7931
HC02_EST_VC37,Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,(X)
HC02_MOE_VC37,Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,(X)
HC03_EST_VC37,Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,938384
HC03_MOE_VC37,Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,4948
HC04_EST_VC37,Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,(X)
HC04_MOE_VC37,Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,(X)
HC05_EST_VC37,Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,1028298
HC05_MOE_VC37,Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,4092
HC06_EST_VC37,Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,(X)
HC06_MOE_VC37,Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone,(X)
HC01_EST_VC38,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,1817960
HC01_MOE_VC38,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,8246
HC02_EST_VC38,Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,92.4
HC02_MOE_VC38,Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,0.3
HC03_EST_VC38,Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,867317
HC03_MOE_VC38,Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,5559
HC04_EST_VC38,Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,92.4
HC04_MOE_VC38,Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,0.4
HC05_EST_VC38,Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,950643
HC05_MOE_VC38,Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,5171
HC06_EST_VC38,Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,92.4
HC06_MOE_VC38,Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher,0.4
HC01_EST_VC39,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,808784
HC01_MOE_VC39,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,9974
HC02_EST_VC39,Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,41.1
HC02_MOE_VC39,Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,0.5
HC03_EST_VC39,Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,381874
HC03_MOE_VC39,Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,6805
HC04_EST_VC39,Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,40.7
HC04_MOE_VC39,Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,0.7
HC05_EST_VC39,Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,426910
HC05_MOE_VC39,Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,7193
HC06_EST_VC39,Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,41.5
HC06_MOE_VC39,Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher,0.7
HC01_EST_VC41,"Total; Estimate; White alone, not Hispanic or Latino",1778311
HC01_MOE_VC41,"Total; Margin of Error; White alone, not Hispanic or Latino",2188
HC02_EST_VC41,"Percent; Estimate; White alone, not Hispanic or Latino",(X)
HC02_MOE_VC41,"Percent; Margin of Error; White alone, not Hispanic or Latino",(X)
HC03_EST_VC41,"Males; Estimate; White alone, not Hispanic or Latino",849924
HC03_MOE_VC41,"Males; Margin of Error; White alone, not Hispanic or Latino",1573
HC04_EST_VC41,"Percent Males; Estimate; White alone, not Hispanic or Latino",(X)
HC04_MOE_VC41,"Percent Males; Margin of Error; White alone, not Hispanic or Latino",(X)
HC05_EST_VC41,"Females; Estimate; White alone, not Hispanic or Latino",928387
HC05_MOE_VC41,"Females; Margin of Error; White alone, not Hispanic or Latino",1032
HC06_EST_VC41,"Percent Females; Estimate; White alone, not Hispanic or Latino",(X)
HC06_MOE_VC41,"Percent Females; Margin of Error; White alone, not Hispanic or Latino",(X)
HC01_EST_VC42,"Total; Estimate; White alone, not Hispanic or Latino - High school graduate or higher",1675484
HC01_MOE_VC42,"Total; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher",4610
HC02_EST_VC42,"Percent; Estimate; White alone, not Hispanic or Latino - High school graduate or higher",94.2
HC02_MOE_VC42,"Percent; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher",0.2
HC03_EST_VC42,"Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher",799330
HC03_MOE_VC42,"Males; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher",3332
HC04_EST_VC42,"Percent Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher",94
HC04_MOE_VC42,"Percent Males; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher",0.4
HC05_EST_VC42,"Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher",876154
HC05_MOE_VC42,"Females; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher",3392
HC06_EST_VC42,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher",94.4
HC06_MOE_VC42,"Percent Females; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher",0.3
HC01_EST_VC43,"Total; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",770014
HC01_MOE_VC43,"Total; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",9548
HC02_EST_VC43,"Percent; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",43.3
HC02_MOE_VC43,"Percent; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",0.5
HC03_EST_VC43,"Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",365556
HC03_MOE_VC43,"Males; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",6437
HC04_EST_VC43,"Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",43
HC04_MOE_VC43,"Percent Males; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",0.8
HC05_EST_VC43,"Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",404458
HC05_MOE_VC43,"Females; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",6745
HC06_EST_VC43,"Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",43.6
HC06_MOE_VC43,"Percent Females; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher",0.7
HC01_EST_VC45,Total; Estimate; Black alone,241134
HC01_MOE_VC45,Total; Margin of Error; Black alone,4209
HC02_EST_VC45,Percent; Estimate; Black alone,(X)
HC02_MOE_VC45,Percent; Margin of Error; Black alone,(X)
HC03_EST_VC45,Males; Estimate; Black alone,110060
HC03_MOE_VC45,Males; Margin of Error; Black alone,2473
HC04_EST_VC45,Percent Males; Estimate; Black alone,(X)
HC04_MOE_VC45,Percent Males; Margin of Error; Black alone,(X)
HC05_EST_VC45,Females; Estimate; Black alone,131074
HC05_MOE_VC45,Females; Margin of Error; Black alone,2460
HC06_EST_VC45,Percent Females; Estimate; Black alone,(X)
HC06_MOE_VC45,Percent Females; Margin of Error; Black alone,(X)
HC01_EST_VC46,Total; Estimate; Black alone - High school graduate or higher,207783
HC01_MOE_VC46,Total; Margin of Error; Black alone - High school graduate or higher,4161
HC02_EST_VC46,Percent; Estimate; Black alone - High school graduate or higher,86.2
HC02_MOE_VC46,Percent; Margin of Error; Black alone - High school graduate or higher,1.3
HC03_EST_VC46,Males; Estimate; Black alone - High school graduate or higher,92641
HC03_MOE_VC46,Males; Margin of Error; Black alone - High school graduate or higher,2422
HC04_EST_VC46,Percent Males; Estimate; Black alone - High school graduate or higher,84.2
HC04_MOE_VC46,Percent Males; Margin of Error; Black alone - High school graduate or higher,1.7
HC05_EST_VC46,Females; Estimate; Black alone - High school graduate or higher,115142
HC05_MOE_VC46,Females; Margin of Error; Black alone - High school graduate or higher,2820
HC06_EST_VC46,Percent Females; Estimate; Black alone - High school graduate or higher,87.8
HC06_MOE_VC46,Percent Females; Margin of Error; Black alone - High school graduate or higher,1.6
HC01_EST_VC47,Total; Estimate; Black alone - Bachelor's degree or higher,47077
HC01_MOE_VC47,Total; Margin of Error; Black alone - Bachelor's degree or higher,4070
HC02_EST_VC47,Percent; Estimate; Black alone - Bachelor's degree or higher,19.5
HC02_MOE_VC47,Percent; Margin of Error; Black alone - Bachelor's degree or higher,1.7
HC03_EST_VC47,Males; Estimate; Black alone - Bachelor's degree or higher,19763
HC03_MOE_VC47,Males; Margin of Error; Black alone - Bachelor's degree or higher,2380
HC04_EST_VC47,Percent Males; Estimate; Black alone - Bachelor's degree or higher,18
HC04_MOE_VC47,Percent Males; Margin of Error; Black alone - Bachelor's degree or higher,2.1
HC05_EST_VC47,Females; Estimate; Black alone - Bachelor's degree or higher,27314
HC05_MOE_VC47,Females; Margin of Error; Black alone - Bachelor's degree or higher,2733
HC06_EST_VC47,Percent Females; Estimate; Black alone - Bachelor's degree or higher,20.8
HC06_MOE_VC47,Percent Females; Margin of Error; Black alone - Bachelor's degree or higher,2
HC01_EST_VC49,Total; Estimate; American Indian or Alaska Native alone,6068
HC01_MOE_VC49,Total; Margin of Error; American Indian or Alaska Native alone,1935
HC02_EST_VC49,Percent; Estimate; American Indian or Alaska Native alone,(X)
HC02_MOE_VC49,Percent; Margin of Error; American Indian or Alaska Native alone,(X)
HC03_EST_VC49,Males; Estimate; American Indian or Alaska Native alone,3042
HC03_MOE_VC49,Males; Margin of Error; American Indian or Alaska Native alone,1136
HC04_EST_VC49,Percent Males; Estimate; American Indian or Alaska Native alone,(X)
HC04_MOE_VC49,Percent Males; Margin of Error; American Indian or Alaska Native alone,(X)
HC05_EST_VC49,Females; Estimate; American Indian or Alaska Native alone,3026
HC05_MOE_VC49,Females; Margin of Error; American Indian or Alaska Native alone,1106
HC06_EST_VC49,Percent Females; Estimate; American Indian or Alaska Native alone,(X)
HC06_MOE_VC49,Percent Females; Margin of Error; American Indian or Alaska Native alone,(X)
HC01_EST_VC50,Total; Estimate; American Indian or Alaska Native alone - High school graduate or higher,5000
HC01_MOE_VC50,Total; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,1606
HC02_EST_VC50,Percent; Estimate; American Indian or Alaska Native alone - High school graduate or higher,82.4
HC02_MOE_VC50,Percent; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,15
HC03_EST_VC50,Males; Estimate; American Indian or Alaska Native alone - High school graduate or higher,2352
HC03_MOE_VC50,Males; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,822
HC04_EST_VC50,Percent Males; Estimate; American Indian or Alaska Native alone - High school graduate or higher,77.3
HC04_MOE_VC50,Percent Males; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,19.7
HC05_EST_VC50,Females; Estimate; American Indian or Alaska Native alone - High school graduate or higher,2648
HC05_MOE_VC50,Females; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,1067
HC06_EST_VC50,Percent Females; Estimate; American Indian or Alaska Native alone - High school graduate or higher,87.5
HC06_MOE_VC50,Percent Females; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher,11.5
HC01_EST_VC51,Total; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,1038
HC01_MOE_VC51,Total; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,504
HC02_EST_VC51,Percent; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,17.1
HC02_MOE_VC51,Percent; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,7.2
HC03_EST_VC51,Males; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,268
HC03_MOE_VC51,Males; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,236
HC04_EST_VC51,Percent Males; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,8.8
HC04_MOE_VC51,Percent Males; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,8
HC05_EST_VC51,Females; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,770
HC05_MOE_VC51,Females; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,417
HC06_EST_VC51,Percent Females; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher,25.4
HC06_MOE_VC51,Percent Females; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher,9.8
HC01_EST_VC53,Total; Estimate; Asian alone,106420
HC01_MOE_VC53,Total; Margin of Error; Asian alone,1941
HC02_EST_VC53,Percent; Estimate; Asian alone,(X)
HC02_MOE_VC53,Percent; Margin of Error; Asian alone,(X)
HC03_EST_VC53,Males; Estimate; Asian alone,49015
HC03_MOE_VC53,Males; Margin of Error; Asian alone,1431
HC04_EST_VC53,Percent Males; Estimate; Asian alone,(X)
HC04_MOE_VC53,Percent Males; Margin of Error; Asian alone,(X)
HC05_EST_VC53,Females; Estimate; Asian alone,57405
HC05_MOE_VC53,Females; Margin of Error; Asian alone,1225
HC06_EST_VC53,Percent Females; Estimate; Asian alone,(X)
HC06_MOE_VC53,Percent Females; Margin of Error; Asian alone,(X)
HC01_EST_VC54,Total; Estimate; Asian alone - High school graduate or higher,96267
HC01_MOE_VC54,Total; Margin of Error; Asian alone - High school graduate or higher,2621
HC02_EST_VC54,Percent; Estimate; Asian alone - High school graduate or higher,90.5
HC02_MOE_VC54,Percent; Margin of Error; Asian alone - High school graduate or higher,1.8
HC03_EST_VC54,Males; Estimate; Asian alone - High school graduate or higher,45680
HC03_MOE_VC54,Males; Margin of Error; Asian alone - High school graduate or higher,1497
HC04_EST_VC54,Percent Males; Estimate; Asian alone - High school graduate or higher,93.2
HC04_MOE_VC54,Percent Males; Margin of Error; Asian alone - High school graduate or higher,1.6
HC05_EST_VC54,Females; Estimate; Asian alone - High school graduate or higher,50587
HC05_MOE_VC54,Females; Margin of Error; Asian alone - High school graduate or higher,1692
HC06_EST_VC54,Percent Females; Estimate; Asian alone - High school graduate or higher,88.1
HC06_MOE_VC54,Percent Females; Margin of Error; Asian alone - High school graduate or higher,2.3
HC01_EST_VC55,Total; Estimate; Asian alone - Bachelor's degree or higher,69801
HC01_MOE_VC55,Total; Margin of Error; Asian alone - Bachelor's degree or higher,2921
HC02_EST_VC55,Percent; Estimate; Asian alone - Bachelor's degree or higher,65.6
HC02_MOE_VC55,Percent; Margin of Error; Asian alone - Bachelor's degree or higher,2.5
HC03_EST_VC55,Males; Estimate; Asian alone - Bachelor's degree or higher,34330
HC03_MOE_VC55,Males; Margin of Error; Asian alone - Bachelor's degree or higher,1921
HC04_EST_VC55,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,70
HC04_MOE_VC55,Percent Males; Margin of Error; Asian alone - Bachelor's degree or higher,3.5
HC05_EST_VC55,Females; Estimate; Asian alone - Bachelor's degree or higher,35471
HC05_MOE_VC55,Females; Margin of Error; Asian alone - Bachelor's degree or higher,1792
HC06_EST_VC55,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,61.8
HC06_MOE_VC55,Percent Females; Margin of Error; Asian alone - Bachelor's degree or higher,2.9
HC01_EST_VC57,Total; Estimate; Native Hawaiian and Other Pacific Islander alone,N
HC01_MOE_VC57,Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone,N
HC02_EST_VC57,Percent; Estimate; Native Hawaiian and Other Pacific Islander alone,(X)
HC02_MOE_VC57,Percent; Margin of Error; Native Hawaiian and Other Pacific Islander alone,(X)
HC03_EST_VC57,Males; Estimate; Native Hawaiian and Other Pacific Islander alone,N
HC03_MOE_VC57,Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone,N
HC04_EST_VC57,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone,(X)
HC04_MOE_VC57,Percent Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone,(X)
HC05_EST_VC57,Females; Estimate; Native Hawaiian and Other Pacific Islander alone,N
HC05_MOE_VC57,Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone,N
HC06_EST_VC57,Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone,(X)
HC06_MOE_VC57,Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone,(X)
HC01_EST_VC58,Total; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC01_MOE_VC58,Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC02_EST_VC58,Percent; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC02_MOE_VC58,Percent; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC03_EST_VC58,Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC03_MOE_VC58,Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC04_EST_VC58,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC04_MOE_VC58,Percent Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC05_EST_VC58,Females; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC05_MOE_VC58,Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC06_EST_VC58,Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC06_MOE_VC58,Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,N
HC01_EST_VC59,Total; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC01_MOE_VC59,Total; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC02_EST_VC59,Percent; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC02_MOE_VC59,Percent; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC03_EST_VC59,Males; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC03_MOE_VC59,Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC04_EST_VC59,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC04_MOE_VC59,Percent Males; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC05_EST_VC59,Females; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC05_MOE_VC59,Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC06_EST_VC59,Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC06_MOE_VC59,Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,N
HC01_EST_VC61,Total; Estimate; Some other race alone,103172
HC01_MOE_VC61,Total; Margin of Error; Some other race alone,7065
HC02_EST_VC61,Percent; Estimate; Some other race alone,(X)
HC02_MOE_VC61,Percent; Margin of Error; Some other race alone,(X)
HC03_EST_VC61,Males; Estimate; Some other race alone,52943
HC03_MOE_VC61,Males; Margin of Error; Some other race alone,4467
HC04_EST_VC61,Percent Males; Estimate; Some other race alone,(X)
HC04_MOE_VC61,Percent Males; Margin of Error; Some other race alone,(X)
HC05_EST_VC61,Females; Estimate; Some other race alone,50229
HC05_MOE_VC61,Females; Margin of Error; Some other race alone,3624
HC06_EST_VC61,Percent Females; Estimate; Some other race alone,(X)
HC06_MOE_VC61,Percent Females; Margin of Error; Some other race alone,(X)
HC01_EST_VC62,Total; Estimate; Some other race alone - High school graduate or higher,67553
HC01_MOE_VC62,Total; Margin of Error; Some other race alone - High school graduate or higher,5648
HC02_EST_VC62,Percent; Estimate; Some other race alone - High school graduate or higher,65.5
HC02_MOE_VC62,Percent; Margin of Error; Some other race alone - High school graduate or higher,3.5
HC03_EST_VC62,Males; Estimate; Some other race alone - High school graduate or higher,33093
HC03_MOE_VC62,Males; Margin of Error; Some other race alone - High school graduate or higher,3707
HC04_EST_VC62,Percent Males; Estimate; Some other race alone - High school graduate or higher,62.5
HC04_MOE_VC62,Percent Males; Margin of Error; Some other race alone - High school graduate or higher,4.7
HC05_EST_VC62,Females; Estimate; Some other race alone - High school graduate or higher,34460
HC05_MOE_VC62,Females; Margin of Error; Some other race alone - High school graduate or higher,3230
HC06_EST_VC62,Percent Females; Estimate; Some other race alone - High school graduate or higher,68.6
HC06_MOE_VC62,Percent Females; Margin of Error; Some other race alone - High school graduate or higher,4
HC01_EST_VC63,Total; Estimate; Some other race alone - Bachelor's degree or higher,12917
HC01_MOE_VC63,Total; Margin of Error; Some other race alone - Bachelor's degree or higher,2239
HC02_EST_VC63,Percent; Estimate; Some other race alone - Bachelor's degree or higher,12.5
HC02_MOE_VC63,Percent; Margin of Error; Some other race alone - Bachelor's degree or higher,2
HC03_EST_VC63,Males; Estimate; Some other race alone - Bachelor's degree or higher,5443
HC03_MOE_VC63,Males; Margin of Error; Some other race alone - Bachelor's degree or higher,1478
HC04_EST_VC63,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,10.3
HC04_MOE_VC63,Percent Males; Margin of Error; Some other race alone - Bachelor's degree or higher,2.6
HC05_EST_VC63,Females; Estimate; Some other race alone - Bachelor's degree or higher,7474
HC05_MOE_VC63,Females; Margin of Error; Some other race alone - Bachelor's degree or higher,1658
HC06_EST_VC63,Percent Females; Estimate; Some other race alone - Bachelor's degree or higher,14.9
HC06_MOE_VC63,Percent Females; Margin of Error; Some other race alone - Bachelor's degree or higher,3.1
HC01_EST_VC65,Total; Estimate; Two or more races,43553
HC01_MOE_VC65,Total; Margin of Error; Two or more races,4308
HC02_EST_VC65,Percent; Estimate; Two or more races,(X)
HC02_MOE_VC65,Percent; Margin of Error; Two or more races,(X)
HC03_EST_VC65,Males; Estimate; Two or more races,21714
HC03_MOE_VC65,Males; Margin of Error; Two or more races,2666
HC04_EST_VC65,Percent Males; Estimate; Two or more races,(X)
HC04_MOE_VC65,Percent Males; Margin of Error; Two or more races,(X)
HC05_EST_VC65,Females; Estimate; Two or more races,21839
HC05_MOE_VC65,Females; Margin of Error; Two or more races,2699
HC06_EST_VC65,Percent Females; Estimate; Two or more races,(X)
HC06_MOE_VC65,Percent Females; Margin of Error; Two or more races,(X)
HC01_EST_VC66,Total; Estimate; Two or more races - High school graduate or higher,38679
HC01_MOE_VC66,Total; Margin of Error; Two or more races - High school graduate or higher,4025
HC02_EST_VC66,Percent; Estimate; Two or more races - High school graduate or higher,88.8
HC02_MOE_VC66,Percent; Margin of Error; Two or more races - High school graduate or higher,2.3
HC03_EST_VC66,Males; Estimate; Two or more races - High school graduate or higher,19184
HC03_MOE_VC66,Males; Margin of Error; Two or more races - High school graduate or higher,2512
HC04_EST_VC66,Percent Males; Estimate; Two or more races - High school graduate or higher,88.3
HC04_MOE_VC66,Percent Males; Margin of Error; Two or more races - High school graduate or higher,3.1
HC05_EST_VC66,Females; Estimate; Two or more races - High school graduate or higher,19495
HC05_MOE_VC66,Females; Margin of Error; Two or more races - High school graduate or higher,2624
HC06_EST_VC66,Percent Females; Estimate; Two or more races - High school graduate or higher,89.3
HC06_MOE_VC66,Percent Females; Margin of Error; Two or more races - High school graduate or higher,3.5
HC01_EST_VC67,Total; Estimate; Two or more races - Bachelor's degree or higher,13618
HC01_MOE_VC67,Total; Margin of Error; Two or more races - Bachelor's degree or higher,1983
HC02_EST_VC67,Percent; Estimate; Two or more races - Bachelor's degree or higher,31.3
HC02_MOE_VC67,Percent; Margin of Error; Two or more races - Bachelor's degree or higher,3.8
HC03_EST_VC67,Males; Estimate; Two or more races - Bachelor's degree or higher,6539
HC03_MOE_VC67,Males; Margin of Error; Two or more races - Bachelor's degree or higher,1379
HC04_EST_VC67,Percent Males; Estimate; Two or more races - Bachelor's degree or higher,30.1
HC04_MOE_VC67,Percent Males; Margin of Error; Two or more races - Bachelor's degree or higher,5.4
HC05_EST_VC67,Females; Estimate; Two or more races - Bachelor's degree or higher,7079
HC05_MOE_VC67,Females; Margin of Error; Two or more races - Bachelor's degree or higher,1295
HC06_EST_VC67,Percent Females; Estimate; Two or more races - Bachelor's degree or higher,32.4
HC06_MOE_VC67,Percent Females; Margin of Error; Two or more races - Bachelor's degree or higher,4.9
HC01_EST_VC69,Total; Estimate; Hispanic or Latino Origin,316522
HC01_MOE_VC69,Total; Margin of Error; Hispanic or Latino Origin,1177
HC02_EST_VC69,Percent; Estimate; Hispanic or Latino Origin,(X)
HC02_MOE_VC69,Percent; Margin of Error; Hispanic or Latino Origin,(X)
HC03_EST_VC69,Males; Estimate; Hispanic or Latino Origin,154151
HC03_MOE_VC69,Males; Margin of Error; Hispanic or Latino Origin,909
HC04_EST_VC69,Percent Males; Estimate; Hispanic or Latino Origin,(X)
HC04_MOE_VC69,Percent Males; Margin of Error; Hispanic or Latino Origin,(X)
HC05_EST_VC69,Females; Estimate; Hispanic or Latino Origin,162371
HC05_MOE_VC69,Females; Margin of Error; Hispanic or Latino Origin,1051
HC06_EST_VC69,Percent Females; Estimate; Hispanic or Latino Origin,(X)
HC06_MOE_VC69,Percent Females; Margin of Error; Hispanic or Latino Origin,(X)
